probe_id,provider,endpoint_or_family,sample_or_params,observed_result,coverage_or_depth,pit_or_revision_note,raw_artifact
ZAPI-ACCOUNT,zapi MCP,get_account/get_usage,account before bounded probes,tier=pro active; quota=3888/25000 used and 21112 remaining at pre-probe; key secret not emitted,account metadata only,quota is operational state not source data,NOT_COMMITTED
SB-STREAM-01,Zapi finance:stockbit,/stream,symbol=AADI count=50,HTTP200; 30 items,source dates 2026-08-20/21; multi-ticker mentions observed,cap appeared to be 30 despite count=50,no cursor/before/after/page parameter exposed; historical backfill not demonstrated,NOT_COMMITTED
SB-STREAM-02,Zapi finance:stockbit,/stream,symbol=CUAN count=50,HTTP200; 30 items,source dates 2026-08-20/21,latest-page only; repeat polling needs post-id dedupe,NOT_COMMITTED
SB-STREAM-03,Zapi finance:stockbit,/stream,symbol=SMBR count=50,HTTP200; 29 items,source dates 2026-08-20/21,latest-page only; zero rows cannot mean no historical activity without a source contract,NOT_COMMITTED
SB-STREAM-04,Zapi finance:stockbit,/stream,symbol=BBCA count=50 and repeat,first bounded response was HTTP200 with schema-empty data and was not used as a successful depth result,provider/cache/schema anomaly; retry policy was not expanded,NOT_COMMITTED
YF-ANALYST-01,Zapi finance:yahoo-finance,/analysts,sample BBCA.JK AADI.JK CUAN.JK SMBR.JK,CUAN.JK and SMBR.JK returned explicit 404 No analyst coverage; remaining two did not produce that explicit error in the bounded run,at least 2/4 sampled issuers are uncovered; no broad coverage claim,NOT_COMMITTED
YF-EARN-01,Zapi finance:yahoo-finance,/earnings,sample CUAN.JK and SMBR.JK,HTTP success; CUAN had annual records/estimates but zero quarterly items; SMBR had annual history but no quarterly items,period coverage is issuer/template dependent,reported-publication timestamps and revision history not established,NOT_COMMITTED
YF-HOLDER-01,Zapi finance:yahoo-finance,/holders,sample BBCA.JK AADI.JK CUAN.JK,HTTP success; BBCA returned institutional/fund items and aggregate counts; AADI/CUAN item lists were empty,current holder snapshot/report dates are not a filing-level PIT chain,NOT_COMMITTED
YF-SUMMARY-01,Zapi finance:yahoo-finance,/summary,sample BBCA.JK AADI.JK CUAN.JK,HTTP success current quote/valuation/recommendation fields,point-in-time historical state not available from summary response,descriptive/current-only; no historical version chain,NOT_COMMITTED
IDX-SBL-01,Zapi finance:idx,lendable-stock,code=BBCA,HTTP200; total=293; one filtered row with lendable volume and fee fields,current snapshot; historical retention and publication timestamp unverified,NOT_COMMITTED
IDX-DERIV-01,Zapi finance:idx,derivatives/raw,underlying=BBCA,HTTP200; three contracts dated 2026-08-20; many high/low/settle/value/volume/open-interest fields zero,zero semantics and completeness fail closed until a live-session sample,NOT_COMMITTED
IDX-CATALOG-01,Zapi finance:idx,stock-summary/index-summary/announcements/raw,catalog/schema inspection,public IDX catalog exposes historical date params,raw /primary passthrough and announcement families,official source remains canonical; existing repo already owns much of the price/announcement work,NOT_COMMITTED
IDX-CATALOG-02,Zapi finance:idx,stock-summary,date=20260731 length=3 plus page=1,recordsTotal=963; first rows page0 AADI/AALI/ABBA and page1 ABDA/ABMM/ACES,recordsTotal is useful but page completeness must be checked,NOT_COMMITTED
IDX-CATALOG-03,Zapi finance:idx,stock-summary,code=BBCA length=1,HTTP200 returned all 963 rows beginning AADI; code and length were ignored,source fails closed for filtered acquisition until corrected,NOT_COMMITTED
IDX-CATALOG-04,Zapi finance:idx,stock-history,code=BBCA from=2026-07-01 to=2026-08-08,28 rows dated 2026-07-01 through 2026-08-07,OHLCV/value/frequency/listed-shares/foreign fields present; date semantics still need canonical parity,NOT_COMMITTED
IDX-CATALOG-05,Zapi finance:idx,companies/securities,current snapshot,962 companies and 962 securities returned,current snapshot only; no extinct-security completeness,NOT_COMMITTED
IDX-CATALOG-06,Zapi finance:idx,broker-summary and market-activity,broker date=20260731; UMA,broker summary 3/88 rows; UMA 7 rows but nested ResultCount=0,market-wide broker data and inconsistent UMA count require separate contracts,NOT_COMMITTED
BI-CATALOG-01,Zapi finance:bi-kurs,jisdor/policy-rate/inflation,catalog inspection,official BI sources expose date/range parameters and explicit series/source fields,publication-time and revision contract still needs a bounded pilot,NOT_COMMITTED
