rank,source_family,provider_or_endpoint,information_set,granularity,historical_depth,ticker_coverage,pit_quality,backfill_feasible,prospective_capture,cost_or_entitlement,operational_risk,redundancy_with_v4_x1,expected_orthogonality,recommended_role,verdict,evidence
1,Stockbit per-ticker broker flow,Stockbit exodus /marketdetectors/{SYMBOL},broker x ticker net/gross lots/value average price frequency and foreign/local/government type,ticker x broker x date or server-aggregated range,range behavior reported from 1 day through 1825 days but not re-probed with the user's account,per-security subject to Stockbit listing/auth,publication/session date is returned but private undocumented revision semantics are unproven,possible bounded pilot not bulk,yes only if account access remains valid,bearer token and Stockbit account; not in Zapi catalog,private schema and WAF/auth drift; human-rate only,low,high genuinely stock-specific participant information,standalone future alpha or crowding/context,GO_BOUNDED_PILOT,INo-xious/stockbit-mcp STOCKBIT-API.md current mapped reference; no local Stockbit token was requested or used
2,Official IDX disclosure and event corpus,IDX official ListedCompany/NewsAnnouncement plus Zapi finance:idx raw passthrough,announcement id title form type publish timestamp attachment URL and PDF hash,event x issuer,public history is bounded by current IDX retention; prospective capture is strong,official publication timestamp and attachment bytes can be hashed when retained,yes only within recoverable archive and bounded history,yes strongly,official/public or Zapi transport cost; no credentials needed for direct public path,history retention and ticker mapping must be audited per event family,low to medium,high for event/disclosure state not reconstructed by OHLCV,regime/event alpha candidate and PIT event context,GO_BOUNDED_PILOT,Existing repo proves attachment/hash/PIT patterns but do not duplicate Financial PIT or CA scopes; restrict future lane to new event families
3,IDX stock-lendable / SBL snapshot,Zapi finance:idx lendable-stock,available lendable shares borrow fee front-end fee and lender status,security snapshot,current snapshot observed; historical depth and revision semantics unproven,per-security where code filter works,observed snapshot time only; no historical publication chain,not yet,yes if captured after close with immutable raw manifest,Pro Zapi call or direct IDX equivalent; small payload,current-only and schema changes,low,medium to high short-supply/borrow-friction information,prospective regime/crowding context,GO_PROSPECTIVE_CAPTURE_ONLY,Empirical BBCA call returned HTTP200 total 293 and one filtered row; do not treat total as historical series
4,Stockbit social behavioral stream,Zapi finance:stockbit /stream and Stockbit exodus /stream/v3/symbol/{SYMBOL},post id ticker mentions createdAt likes replies images pro/official/pinned flags and content metadata,latest posts per ticker,latest page only; bounded probes returned 2026-08-20/21 posts and no older cursor,per-symbol plus multi-ticker mentions,createdAt is source timestamp but edits/deletions and retention are unproven,not for historical backfill,yes append-only polling with dedupe by post id,Zapi Pro calls or direct private Stockbit auth; privacy and ToS constraints,latest-window replacement/deletion and 30-item cap,medium after residualizing price/market state,behavioral aggregate only; never user profiling,GO_PROSPECTIVE_CAPTURE_ONLY,Empirical AADI/CUAN/SMBR calls returned 30/30/29 rows for count=50; first BBCA response was schema-empty and is treated as a provider anomaly
5,Bank Indonesia macro rates,Zapi finance:bi-kurs jisdor/policy-rate/inflation,USD/IDR reference rate BI transaction rate policy rate and headline inflation,market or macro x date,JISDOR range endpoint exposes bounded date ranges; exact full historical retention still needs a separate audit,market-wide,publication/date semantics are stronger than private social data but release-time linkage needs freezing,yes for bounded official range once source bytes are archived,yes for daily/policy polling,Zapi Pro or direct BI public data; low storage,release revisions and time-zone/publication timing need explicit contract,not in V4-X1 raw price state,medium external macro driver orthogonal to single-stock OHLC context,GO_BOUNDED_PILOT,Zapi public catalog documents JISDOR date range and source=bank-indonesia; no model work performed
6,IDX derivatives and open interest,Zapi finance:idx derivatives/raw passthrough,contract quote volume value frequency open interest and settlement,derivative contract x session,current snapshot probe only; historical coverage not established,contract/underlying dependent,session date is present but publication and zero-field semantics need audit,unknown,yes only if daily snapshot completeness passes,Zapi/direct IDX; exchange coverage varies,empirical BBCA probe had three contracts but many zero fields,medium,medium if contract positioning maps cleanly,prospective bounded pilot,WAIT_FOR_MORE_EVIDENCE,Empirical BBCA response was HTTP200 with 3 contracts dated 2026-08-20 and mostly zero high/low/settle/value/volume/open-interest fields
7,Yahoo earnings and estimates,Yahoo Finance through Zapi /earnings,reported EPS revenue estimates surprise and annual/quarterly estimate fields,issuer x report period/current estimate,history exists for some issuers but publication/version chain is not guaranteed,very uneven across .JK tickers,current provider state is not a defensible PIT filing chain without timestamp/version audit,possible descriptive backfill only,not recommended for serious PIT until audited,Zapi quota or Yahoo upstream,provider revisions and current-state reconstruction,low to medium because existing Financial PIT is canonical,descriptive cross-check only,WAIT_FOR_MORE_EVIDENCE,CUAN.JK and SMBR.JK returned success with annual records but zero quarterly items in bounded probes
8,Yahoo analyst coverage,Yahoo Finance through Zapi /analysts,ratings price targets analyst firms and recent changes where available,issuer x analyst observation,coverage sparse and issuer-skewed; depth not proven,observed explicit no-coverage for 2 of 4 probed names,change timestamps and revisions not frozen,not yet,possible snapshot only,low API cost but low coverage,404 no-coverage and current-state ambiguity,low,low to medium only for large-cap attention,descriptive only,WAIT_FOR_MORE_EVIDENCE,CUAN.JK and SMBR.JK returned explicit 404 No analyst coverage; no claim of broad coverage
9,Yahoo holders/summary,Yahoo Finance through Zapi /holders and /summary,ownership aggregates institutional holders recommendations target price valuation and current statistics,issuer snapshot,not a stable historical PIT series in observed form,uneven; BBCA had institutions while AADI/CUAN item lists were empty,current snapshot and report-date/version semantics unresolved,not suitable without a separate PIT audit,no,low API cost but source revision risk,high redundancy with existing ownership/price/fundamental lanes,low,descriptive only,DROP_LOW_VALUE,BBCA returned holder items and current aggregate fields while AADI/CUAN had empty holder item lists
10,TradingView/Investing/Yahoo intraday or OHLCV,public/Zapi finance:tradingview and finance:investing,price path and technical/market quotes,intraday or daily price,existing lanes already rejected or blocked for historical fidelity,overlap with V4-X1 price/market context and existing forward capture,PIT not a new information set,not a candidate for this lane,prospective capture is duplicate of existing owners,subscription or public provider drift,high redundancy,low,none beyond existing price state,DROP_REDUNDANT,Existing repo has TradingView/Investing negative evidence and active Stockbit intraday capture; do not duplicate
11,Public web attention/news/Google Trends/app rankings,free/public services,search attention news/social counts app rank or web traffic,issuer or market x time,coverage/retention/licensing vary and no single accepted source was identified,unknown,publication and revisions require a new source-specific contract,possible prospective archive but not justified yet,free or paid depending source; legal/ToS risk,privacy and reproducibility risk,low to medium,unknown until source contract passes,WAIT_FOR_MORE_EVIDENCE,No bounded source with stable IDX ticker mapping and PIT retention was verified in this run
