repository,reviewed_commit_sha,last_activity,license,source_access,material_capability,historical_capability,auth_or_risk,decision
NeaByteLab/IDX-API,910b8db70893b93920a1bba331d00a1a245907c6,active 2026,MIT,direct IDX endpoints for stock broker index foreign flow financial announcement and issued history,open official transport candidate,no immutable PIT timestamps/revision hashes demonstrated,public API binds 0.0.0.0 and CORS *; source freshness needs audit,CONDITIONAL_SOURCE_AUDIT_ONLY
nichsedge/idx-bei,75d6c0f74fa360d225794c70c383348977de6798,active Aug 2026,MIT,broad IDX scraper including OHLCV broker foreign flow index financial CA announcements/PDFs and broker members,official source access is broad but current public retention remains bounded,storage overwrites and no PIT correction chain in reviewed code; API verification spec is not independent proof,CONDITIONAL_SOURCE_AUDIT_ONLY
INo-xious/stockbit-mcp,4d53134987929b58300fe23d784f26b400b6ca56,active Aug 2026,MIT,private Stockbit REST plus read-only MCP for broker summary/distribution bars foreign flow orderbook financials announcements and social,roughly two years daily bars claimed; broker range behavior documented but not account-validated here,bearer/refresh token; package includes confirm-gated layout write; private ToS/schema drift,PRIMARY_BOUNDED_PILOT_REFERENCE
Invezgo/invezgo-python-sdk,964afc3bf4c7d0569da69f040e39346800fd79da,active Jul 2026,MIT,commercial API SDK for OHLCV broker summary/stalker/inventory foreign flow ownership/KSEI financials and social,provider-dependent and not demonstrated PIT,paid entitlement and vendor-controlled provenance,LICENSE_AND_PIT_AUDIT_REQUIRED
ekajaya740/idx-scraper,08614cec822daf0ef65b432b60fbe087b2ff4382,active Aug 2026,MIT,official IDX financial-report attachment retrieval with year/report-type/period parameters and resumable CSV,download helper not a PIT contract,Cloudflare/WAF bypass and no knowledge_at/hash manifest,FINANCIAL_FILE_ADAPTER_REFERENCE_ONLY
shaneemichael/stockbit_scraper,cf40a54039f4e0578e43041bac2b2decb88f38dd,tip Jan 2026,license metadata null,Next.js bearer/localStorage adapter for Stockbit broker/insider/price routes,no PIT/archive contract,browser token exposure and no revision/hash tests,REJECT_STALE_CREDENTIAL_RISK
virgorithm98/stockbitScraper,685b94179af48275023ffce6c0fee8bac201c14c,tip Mar 2024,no license,Selenium login and DOM scraping of Stockbit/running trade,no API/history/PIT,hard-coded credentials/selectors and brittle browser automation,REJECT
aeramu/stockbit-scraper,ced42636c7220a4baa4d87c00cc0629b1e98699d,tip Aug 2021,no license,legacy Stockbit v2.4 screener/financial endpoints,no PIT/history; converts missing values to string zero,stale endpoint and weak HTTP/concurrency semantics,REJECT
michaelhendraw/stockbit_rest_api,0e6db7364347d13c254cf5a7bbea9ce444bf392c,tip Mar 2020,no license,local Go wrapper around localhost gRPC rather than direct Stockbit access,no history/PIT,insecure/stale local transport,REJECT
dikabrenda/stockbit_api,7404c3012dd410bc93a8d5766e309c945be38c69,tip Mar 2022,license metadata null,GoRest QA test project rather than Stockbit tooling,no relevant capability,tracked env token in reviewed tree,REJECT_SECRET_RISK
basnugroho/indonesia-stocks-scraper,fae5f4babfff294c0944430dfbd4400dded5881a,tip Feb 2025,license metadata null,IDX/RTI/Stockbit/Yahoo fundamentals via Selenium,no PIT/history contract,hard-coded paths/browser/credential placeholders and committed environment,REJECT
araafario/idx-5percent-shareholders-scraper,d896e3f286ea4a8e4645b86352cde19c9d272617,tip Nov 2025,license metadata null,official IDX announcement/PDF parser for 5-percent holders,exact-date parser pattern but no knowledge_at/revision/hash manifest,source-family narrow and needs PIT contract,REFERENCE_PATTERN_ONLY
rdp77/idx-pulse,70373b5d11509b269b267488436222b2533372fd,tip Apr 2025,MIT,static Next.js documentation site,no verified API or history layer,not a source implementation,REJECT
snowfluke/sentimeter,c61cb469cb2a946e1d611f0c50812ccce389e443,active 2026,MIT,Indonesian news crawler plus Gemini sentiment/ticker extraction and Yahoo prices,not PIT and generates BUY recommendations,outcome/model semantics and no immutable publication contract,OUT_OF_SCOPE
IDX-id/idx-twitter-sentiment,b00a55552bd9e50355d36864275bbdd2bb9756a6,tip 2023,no license,static per-issuer Twitter sentiment JSON,no collector/publication contract,stale and non-PIT,REJECT
lightbluetitan/indonesiapis,00ad1cc2b75106cf94caad496e5bc962fb541f98,tip Nov 2025,Other,World Bank Indonesia GDP/CPI functions,annual macro only and not an IDX alpha source,license metadata mismatch and no PIT release chain,SECONDARY_MACRO_REFERENCE
