FINDING_ID,HUNTER_CLAIM,AUDIT_TARGET_SHA,EXACT_FILES_BLOBS,REACHABLE_CANONICAL_PATH,PROJECT_CONTRACT,CHALLENGER_ATTACK,REPRODUCTION_ATTEMPT,REPRODUCTION_RESULT,COUNTEREVIDENCE,SCIENCE_IMPACT,PRODUCTION_IMPACT,PROSPECTIVE_IMPACT,ACTUAL_BLAST_RADIUS,ROOT_CAUSE_CLUSTER,CHALLENGER_VERDICT,CONFIDENCE
A1,Watchdog covers failed queued or WAITING runs,adc071d6fd7e8009557bed27b1224217421514ae,watchdog.py:305-384 469-504; runner:175-196,Windows fallback to run metadata to covered decision,Covered means durable terminal commit,static_path_verified,synthetic exact-slot failed row,Returns ALREADY_COVERED,main-only dispatch does not check durable commit,None directly,Not proven live,High false-green risk,affected fallback slots,scheduler_false_green,CONFIRMED,High
A2,E2E STARTED attempt has no crash resume,adc071d6fd7e8009557bed27b1224217421514ae,6b6 runner.py:327-348 378-433; runtime:720-735,Cloud runner to provider work to commit,Commit-last is restart-safe,static_path_verified,static crash after provider work,Next run reacquires,crash test only proves no commit,None directly,Not proven live,High duplicate risk,E2E CA and EOD,recovery_commit_semantics,CONFIRMED,High
A3,Stream artifact-before-manifest crash loses recovery,adc071d6fd7e8009557bed27b1224217421514ae,stream_capture_v2.py:343-398 429-557 613-615,Stream provider to raw archive to manifest,Partial writes discoverable,static_path_verified,resume window review,No marker and refetch,partial-manifest test misses window,None directly,Not proven live,High duplicate risk,Stream archive,recovery_commit_semantics,CONFIRMED,High
A4,Intraday can refetch after provider response,adc071d6fd7e8009557bed27b1224217421514ae,intraday runner:200-224; runtime:725-755; archive:308-355,Requester to persistence to journal,No second provider history,static_path_verified,kill after requester before persistence,Restart requests ticker again,kill test ends earlier,None directly,Not proven live,High termination risk,Ticker evidence,recovery_commit_semantics,CONFIRMED,High
A5,Intraday seals nonterminal WAITING,adc071d6fd7e8009557bed27b1224217421514ae,intraday runner:125-128 247-257; archive:176-239 537-576,Intraday slot to committed short-circuit,Only terminal state seals,static_path_verified,WAITING final slot,Later run cannot retry,no terminal-only validator,None directly,Not proven live,High slot risk,Final intraday slot,recovery_commit_semantics,CONFIRMED,High
A6,Official Open SHA only syntax validated,adc071d6fd7e8009557bed27b1224217421514ae,official workflow:50-76; runtime:1035-1040,Variable to checkout to archive,Producer is approved immutable SHA,static_path_verified,alternate forty-hex variable,Producer and consumer remain consistent,current value format-valid,None directly,Not proven live,High provenance risk,Open and PREOPEN,mutable_control_plane,CONFIRMED,High
A7,Official Open manual date permits backfill,adc071d6fd7e8009557bed27b1224217421514ae,official workflow:19-29; archive:215-243,Manual date to official-open-v1,Canonical prefix rejects backfill,static_path_verified,historical session date,no current-date guard writes object,downstream rejects some provenance,None directly,Not proven live,Moderate archive risk,Official Open archive,mutable_control_plane,CONFIRMED,High
A8,Stream manual run permits non-main and arbitrary top_n,adc071d6fd7e8009557bed27b1224217421514ae,stream workflow:11-21 47-80; capture:578-609,Manual workflow to triggering ref to archive,One routine producer governs,static_path_verified,feature branch and altered top_n,archive path remains reachable,metadata shows feature-branch runs,None directly,Not proven live,High provenance risk,Stream universe,mutable_control_plane,CONFIRMED,High
A9,String False can open bool gate,adc071d6fd7e8009557bed27b1224217421514ae,data_gate.py:61-69 95-98; security_master.py:130-193,Data gate caller to bool conversion,Malformed evidence fails closed,static_path_verified,nonempty string input,bool nonempty string is True,normal callers may use bool; Path-A hardens,Potential model input contamination,Not proven live,Potential gate risk,Data gate callers,data_gate_typing,LIKELY_REAL,High
A10,Generic malformed listed_to becomes open-ended,adc071d6fd7e8009557bed27b1224217421514ae,security_master.py:40-45 60-82; Path-A:6b6 security:254-270,Generic identity helper to existence state,Malformed interval blocks,static_path_verified,listed_to not-a-date,Generic treats as listed,Path-A rejects it,Potential PIT identity risk,Canonical impact not proven,Legacy helper risk,Identity helper,identity_semantics,LIKELY_REAL,High
A11,Generic OHLCV normalizer drops conflicts,adc071d6fd7e8009557bed27b1224217421514ae,data.py:44-59,Normalizer to data gate,Conflict is diagnosed,static_path_verified,duplicate differing close,keep-last leaves one,backfill has stronger checks,Potential basis change,Not proven live,Generic ingestion risk,Generic data callers,data_gate_typing,LIKELY_REAL,High
A12,Coverage accepts observed dates outside calendar,adc071d6fd7e8009557bed27b1224217421514ae,coverage.py:56-89; data_gate.py:47-58,security coverage to data gate,Only exchange sessions complete,static_path_verified,add Saturday row,can still report complete,Path-A builder rejects dates,Potential feature contamination,Not proven live,Helper risk,Generic coverage,calendar_pit_semantics,LIKELY_REAL,High
