branch_name,head_sha,last_commit_date,ahead_vs_main,behind_vs_main,head_reachable_from_main,reachable_from_retained_successor,retained_successor_branch,successor_or_acceptance_sha,related_pr,related_pr_status,team_status_references,repository_document_references,classification,reason
ci/quality-gates,597c0e706a763045a4f40ddaa27459901dce88b3,2026-08-11T12:15:10+07:00,3,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,ABANDONED_NO_DECISION,Not reachable from main and no tracked status/handoff/checkpoint/spec/manifest reference was found.
codex/data-source-provenance-registry-v1,9e78f5d23042135c821d1d5478714cab447ccbf2,2026-08-13T11:16:29+07:00,4,187,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,REVIEW,coordination/TEAM_STATUS.md:84;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
codex/frontend-compare-v2,bc91a5f99502bb507ed905bdce6c0ac993348d55,2026-08-12T17:13:01+07:00,350,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,REVIEW,coordination/TEAM_STATUS.md:72;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
codex/frozen-lineage-impact-audit-v1,9395b5c26e0db1a280acee4cac9d5fa76d198e8c,2026-08-13T11:41:06+07:00,3,181,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,REVIEW,coordination/TEAM_STATUS.md:81;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
codex/idx-eod-adversarial-tests-v1,f6a50cfcba3611c89bd71ee1b6b12d9da3dee51a,2026-08-13T11:14:17+07:00,364,283,false,false,,7b21c50d278b13c8e94cdebddd4ca35765d7274e,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:79;origin/main:coordination/TEAM_STATUS.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
codex/idx-forward-100-evaluator-v1,fe323e2977ef447aaa7fbd93b38ef3021563d072,2026-08-13T10:57:15+07:00,372,214,false,false,,12a5b99150cbb33c729343ceec3f4d4da2d66ecd;6c05499d01ba644c80f0c6bd6d621aac92ab2813,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:64;origin/main:coordination/TEAM_STATUS.md,KEEP,Protected O2/Foreign-Flow/Price-State/forward/runtime lineage; retain by repository hygiene policy.
codex/pit-safe-v2-v3b-o2-reproduction-research-v1,765bdba170eba68d3beab28dae30bd7e694743f8,2026-08-13T14:48:20+07:00,514,283,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:82;origin/main:coordination/TEAM_STATUS.md,KEEP,Protected O2/Foreign-Flow/Price-State/forward/runtime lineage; retain by repository hygiene policy.
codex/pit-safe-v2-v3b-o2-reproduction-v1,7894eddc6ba61c04297f147defd46d9913731464,2026-08-13T11:58:33+07:00,3,177,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,NONE_FOUND,NONE_FOUND,KEEP,Protected O2/Foreign-Flow/Price-State/forward/runtime lineage; retain by repository hygiene policy.
codex/repository-hygiene-v1,473d38aba99e6d4527fa25879a1aeb19123cdf9e,2026-08-15T23:44:22+07:00,2,3,false,false,,,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,REVIEW,coordination/TEAM_STATUS.md:46;origin/main:coordination/TEAM_STATUS.md,KEEP,Live coordination status REVIEW; do not retire active or parked work.
codex/scientific-integrity-audit-v1,1a3d785b10e33af1f6f723fb4a23cf8a61980b0a,2026-08-13T10:50:58+07:00,2,196,false,false,,31b88496bcbf91bb7772351ab6c3e1df206b2375,UNAVAILABLE_GITHUB_AUTH,UNAVAILABLE_GITHUB_AUTH,DONE,coordination/TEAM_STATUS.md:80;origin/main:coordination/TEAM_STATUS.md;origin/main:docs/checkpoints/2026-08-13_REPOSITORY_SCIENTIFIC_INTEGRITY_AUDIT_INDEPENDENT_ACCEPTANCE.md,ARCHIVE_TAG_THEN_DELETE_BRANCH,Scientific lane is DONE and its decision/reference is documented; preserve exact HEAD/verdict with a proposed archive tag before deletion.
