FINDING_ID,SEVERITY,VERDICT,CONFIDENCE,PRODUCTION_IMPACT,RECOMMENDED_CONTROL
A1,P1,CONFIRMED,High,"Not proven live; static false-green path","Require durable terminal commit before covered"
A2,P1,CONFIRMED,High,"Not proven live; crash can orphan attempt","Add crash-resume/idempotent acquisition"
A3,P1,CONFIRMED,High,"Not proven live; partial archive recovery gap","Persist discoverable progress before provider retry"
A4,P1,CONFIRMED,High,"Not proven live; duplicate-fetch window","Make evidence persistence/request journal atomic or resumable"
A5,P1,CONFIRMED,High,"Not proven live; WAITING can seal slot","Reject nonterminal status from final commit"
A6,P1,CONFIRMED,High,"Not proven live; producer identity mutable","Bind variable to approved immutable allowlist"
A7,P2,CONFIRMED,High,"No live backfill observed","Reject historical manual dates in canonical prefix"
A8,P1,CONFIRMED,High,"Historical non-main manual runs observed in metadata","Main-only guard and fixed routine universe"
A9,P1,LIKELY_REAL,High,"No canonical malformed input observed","Strict schema/type validation at boundary"
A10,P1,LIKELY_REAL,High,"Path-A mitigation exists; generic helper remains","Prove reachability or harden generic interval parser"
A11,P1,LIKELY_REAL,High,"No live conflict observed","Record conflicts; do not silently drop"
A12,P1,LIKELY_REAL,High,"Path-A calendar mitigation exists","Reject observed-minus-official sessions"
A13,P1,LIKELY_REAL,High,"Scorer reachability not proven","Count official post-listing sessions only"
A14,P1,CONFIRMED,High,"No live mutation observed","Immutable source/manifest contract"
A15,P1,LIKELY_REAL,High,"Real evaluation is blocked NOT_AVAILABLE","Bind producer/input/target/state artifacts"
A16,P1,LIKELY_REAL,High,"No live evaluation performed","Filter and validate EVALUABLE population in gate"
A17,P2,LIKELY_REAL,High,"No live evaluation performed","Declare minimum per-session population"
A18,P1,LIKELY_REAL,Medium,"Admission currently FAIL","Bind CA/basis attestation to feature input"
A19,P2,LIKELY_REAL,Medium,"Canonical Path-A scope not fully proven","Machine-enforce instrument scope"
A20,P2,LIKELY_REAL,High,"Path-A pagination mitigation exists","Use exhaustive or explicitly incomplete provider adapter"
A21,P2,UNRESOLVED_DISPUTE,High,"Registry divergence current; harmful execution unknown","Classify each registration before cleanup"
A22,P1,LIKELY_REAL,High,"No replacement observed","Expected immutable input manifest hash"
A23,P2,LIKELY_REAL,High,"Installed bytes reportedly match; installer weak","Pin and attest installed watchdog source"
A25,P1,CONFIRMED,High,"Historical support impact not current proof","Recompute exact current Phase-B applicability"
A26,P2,CONFIRMED,High,"Terminology risk only","Keep source/event/transition counts typed"
A27,P2,CONFIRMED,High,"No live manifest examined","Hash exact stored bytes"
A28,P2,LIKELY_REAL,High,"No live stage artifact examined","Persist complete controller/provider/workflow identity"
A29,P2,LIKELY_REAL,High,"Exact SHA reachable but ref retention risk","Protect/retain reviewed implementation ref"
A30,P1,CONFIRMED,High,"Current data admission explicitly FAIL","Obtain date-level as-of and resolved CA authority"
