FINDING_ID,SEVERITY,VERDICT,ROOT_CAUSE_CLUSTER,SHORT_CLAIM
A1,P1,CONFIRMED,scheduler_false_green,"Watchdog covers failed queued and WAITING runs"
A2,P1,CONFIRMED,recovery_commit_semantics,"E2E attempt has no crash resume"
A3,P1,CONFIRMED,recovery_commit_semantics,"Stream artifact-before-manifest crash loses recovery"
A4,P1,CONFIRMED,recovery_commit_semantics,"Intraday provider-response crash refetches"
A5,P1,CONFIRMED,recovery_commit_semantics,"Intraday commits nonterminal final slot"
A6,P1,CONFIRMED,mutable_control_plane,"Official Open SHA is externally mutable"
A7,P2,CONFIRMED,mutable_control_plane,"Official Open manual date permits backfill"
A8,P1,CONFIRMED,mutable_control_plane,"Stream manual dispatch can use non-main and arbitrary top_n"
A9,P1,LIKELY_REAL,data_gate_typing,"String False can open bool gate"
A10,P1,LIKELY_REAL,identity_semantics,"Generic Security Master treats malformed listed_to as open-ended"
A11,P1,LIKELY_REAL,data_gate_typing,"Generic OHLCV normalizer drops conflicts"
A12,P1,LIKELY_REAL,calendar_pit_semantics,"Coverage does not reject out-of-calendar observations"
A13,P1,LIKELY_REAL,calendar_pit_semantics,"Universe warmup counts non-session rows"
A14,P1,CONFIRMED,provenance_binding,"Missing sources and manifest replacement are permitted"
A15,P1,LIKELY_REAL,evaluation_provenance,"Evaluation gate lacks complete producer and state binding"
A16,P1,LIKELY_REAL,evaluation_metrics,"Alpha metrics do not enforce EVALUABLE filtering"
A17,P2,LIKELY_REAL,evaluation_metrics,"Top-k allows undersized populations"
A18,P1,LIKELY_REAL,ca_basis_provenance,"Features lack machine-bound CA/basis evidence"
A19,P2,LIKELY_REAL,identity_semantics,"Generic Security Master lacks instrument scope enforcement"
A20,P2,LIKELY_REAL,identity_semantics,"Generic delisted adapter lacks pagination completeness"
A21,P2,UNRESOLVED_DISPUTE,workflow_registry,"23 registered workflows versus 10 tree files"
A22,P1,LIKELY_REAL,provenance_binding,"E2E input manifest lacks approved expected hash"
A23,P2,LIKELY_REAL,scheduler_false_green,"Windows watchdog install accepts mutable checkout"
A24,P2,LIKELY_FALSE_POSITIVE,documentation_drift,"PR HEAD drift is normal coordination lag"
A25,P1,CONFIRMED,ca_basis_lineage,"Legacy 56602 overlay is not proven for current Phase-B"
A26,P2,CONFIRMED,ca_ontology,"Source rows and economic events must remain distinct"
A27,P2,CONFIRMED,provenance_binding,"Stream self-hash does not hash stored bytes"
A28,P2,LIKELY_REAL,provenance_binding,"E2E stage identity omits controlling workflow/provider fields"
A29,P2,LIKELY_REAL,pin_durability,"Off-main E2E pin lacks permanent reviewed retention"
A30,P1,CONFIRMED,ksei_ca_authority,"Current KSEI/as-of/transition evidence still fails admission"
