pr_number,state,draft,merged,head_branch,pr_head_sha,current_remote_head,base_branch,recommendation,reason
1,OPEN,true,false,ci/quality-gates,597c0e706a763045a4f40ddaa27459901dce88b3,597c0e706a763045a4f40ddaa27459901dce88b3,main,NEEDS_REVIEW,old_CI_lineage_no_scientific_decision
2,OPEN,true,false,data/idx-data-002c,bc8fcf0a77575f5b42f77fe1d2aea9fc58b14cda,bc8fcf0a77575f5b42f77fe1d2aea9fc58b14cda,data/idx-data-002b,CLOSE_AFTER_ARCHIVE,not_certified_ancestor_of_stage_lineage
3,CLOSED,true,true,data/idx-data-005-1260-prep,c14fdce7b04edf05c84a506d8b8ee38d04593021,c14fdce7b04edf05c84a506d8b8ee38d04593021,main,ALREADY_CLOSED_NO_ACTION,merged_archived_data_lineage
4,OPEN,true,false,research/idx-stage3-v1,8afce50797e1855eab9431a51a163cf92fca2b94,8afce50797e1855eab9431a51a163cf92fca2b94,main,CLOSE_AFTER_ARCHIVE,historical_stage_lineage_retained_by_archive
5,OPEN,true,false,research/idx-stage4-v1,899bbf3bb5987e9d345f4c8692a7656fe03a3b0e,899bbf3bb5987e9d345f4c8692a7656fe03a3b0e,main,CLOSE_AFTER_ARCHIVE,legacy_probability_deferred
6,OPEN,true,false,research/idx-stage4b-calibration-v1,f3209705ec4e5fe85e5e5b38035f6d2adf6d31c9,f3209705ec4e5fe85e5e5b38035f6d2adf6d31c9,main,CLOSE_AFTER_ARCHIVE,legacy_probability_deferred
7,OPEN,true,false,research/idx-stage5-ranking-holdout-v1,8223899b4bae9b1225334b92908e85689ab8232f,8223899b4bae9b1225334b92908e85689ab8232f,main,CLOSE_AFTER_ARCHIVE,consumed_holdout_rejected_lineage
8,OPEN,true,false,research/idx-stage5-postmortem-v1,3e2610e80262c624003cc6ba50d8e41d2fe42091,3e2610e80262c624003cc6ba50d8e41d2fe42091,main,NEEDS_REVIEW,postmortem_runtime_result_not_at_head
9,OPEN,false,false,perf/idx-research-runtime-v1,e1d37b9de5035d68160398c5ef7dd413d3b5b40c,e1d37b9de5035d68160398c5ef7dd413d3b5b40c,main,KEEP_OPEN,dependency_for_ranking_v2
10,OPEN,true,false,research/idx-ranking-v2-spec-v1,a0e6220b14fadc6e918e39b6cca9201f74413cb0,a0e6220b14fadc6e918e39b6cca9201f74413cb0,main,KEEP_OPEN,active_ranking_spec_lineage
